epoch,loss,mean_absolute_percentage_error,val_loss,val_mean_absolute_percentage_error
0,0.053250059485435486,651211.375,0.026668159291148186,37.53673553466797
1,0.02122262492775917,426434.9375,0.0314846970140934,42.15513229370117
2,0.02130270004272461,400553.28125,0.03481694310903549,45.15945816040039
3,0.022174587473273277,491348.78125,0.03367428854107857,44.301570892333984
4,0.022074047476053238,462615.875,0.03289660066366196,43.70989227294922
5,0.021173877641558647,511806.84375,0.029661070555448532,40.835906982421875
6,0.02003675512969494,500003.4375,0.023790279403328896,35.214942932128906
7,0.017610715702176094,461713.40625,0.020360874012112617,31.91072654724121
8,0.017061341553926468,395456.9375,0.017678191885352135,29.6987247467041
9,0.015624813735485077,459958.625,0.01456290204077959,27.092790603637695
10,0.014963287860155106,390316.8125,0.014085022732615471,26.740285873413086
11,0.013943605124950409,361153.15625,0.01493622176349163,27.615798950195312
12,0.014065594412386417,369084.375,0.015279443934559822,27.979358673095703
13,0.014137203805148602,357512.34375,0.014024016447365284,26.954023361206055
14,0.013317052274942398,315364.4375,0.016299495473504066,28.89242172241211
15,0.0138877984136343,336264.3125,0.01590477116405964,28.79606056213379
16,0.013553250581026077,354550.5,0.015675105154514313,28.500038146972656
17,0.01398817915469408,379382.71875,0.014986181631684303,28.030832290649414
18,0.014142953790724277,330869.0,0.01428469829261303,27.271879196166992
19,0.013980165123939514,325415.46875,0.015274155884981155,28.22317886352539
20,0.013032020069658756,272388.15625,0.012910922057926655,26.031404495239258
21,0.012946675531566143,352841.65625,0.013540446758270264,26.659793853759766
22,0.012761032208800316,320173.15625,0.01254771277308464,25.6405086517334
23,0.01205827109515667,318494.96875,0.013432253152132034,26.454147338867188
24,0.012499790638685226,257216.609375,0.012555976398289204,25.63594627380371
25,0.012683211825788021,322436.90625,0.01471923477947712,27.722965240478516
26,0.012475023977458477,294651.8125,0.012149345129728317,25.255226135253906
27,0.011613232083618641,294317.21875,0.014352429658174515,27.36630630493164
28,0.012373523786664009,215543.421875,0.01164664514362812,24.553007125854492
29,0.011543873697519302,339847.71875,0.012827196158468723,25.813854217529297
30,0.01126879919320345,299764.09375,0.011960812844336033,24.78194808959961
31,0.011832107789814472,265791.4375,0.011776761151850224,24.656953811645508
32,0.011343434453010559,257073.828125,0.013200182467699051,26.10530662536621
33,0.011754734441637993,238669.953125,0.01310691237449646,25.93807601928711
34,0.011550704017281532,281152.6875,0.011579889804124832,24.505226135253906
35,0.012025440111756325,210785.34375,0.01186581701040268,24.779592514038086
36,0.01167510449886322,262830.03125,0.011934478767216206,24.648624420166016
37,0.01191774196922779,222577.71875,0.009912212379276752,22.63467788696289
38,0.011495998129248619,271744.4375,0.011480807326734066,24.530994415283203
39,0.011460511945188046,335433.03125,0.012522353790700436,25.61514663696289
40,0.011321261525154114,293064.53125,0.010088660754263401,23.159141540527344
41,0.010203886777162552,281215.875,0.011334938928484917,24.445907592773438
42,0.011372514069080353,181506.3125,0.011097414419054985,24.066936492919922
43,0.011192960664629936,264518.375,0.012653986923396587,25.742692947387695
44,0.012040868401527405,276767.8125,0.011415167711675167,24.51126480102539
45,0.011060385033488274,301372.5625,0.011772246100008488,24.960708618164062
46,0.010958685539662838,181216.515625,0.010824225842952728,23.678688049316406
47,0.011218860745429993,270140.625,0.011244772002100945,24.39626121520996
48,0.010908686555922031,236271.515625,0.011289319954812527,24.202665328979492
49,0.011880307458341122,189765.53125,0.01067546010017395,23.61661720275879
